motivation,motivation_pr,motivation_pol,motivation_sub
"Boredom, Escape",boredom escape,0.0,0.0
Chance to get away,chance get away,0.0,0.0
Explore,explore,0.0,0.0
Seeing new sights and having new experiences,new sight new,0.13636363636363635,0.45454545454545453
Learning about other cultures and ways of life; including food,learning culture way life including food,0.0,0.0
Exploration ,exploration,0.0,0.0
Discover cultures and food ,discover culture food,0.0,0.0
New things,new,0.13636363636363635,0.45454545454545453
Exploration,exploration,0.0,0.0
"Meeting People, seeing landmarks",meeting people landmarks,0.0,0.0
New experience,new,0.13636363636363635,0.45454545454545453
The want to educate myself on others culture ,want educate others culture,0.0,0.0
Curiousity. Getting outside of my daily routine. Learning more about myself through new experiences. ,curiosity getting outside daily routine learning new,0.04545454545454545,0.16818181818181818
"historical attractions, food",historical attraction food,0.0,0.0
Learn about new cultures,learn new culture,0.13636363636363635,0.45454545454545453
Inspiration,inspiration,0.0,0.0
Exploration ,exploration,0.0,0.0
I want to see as much of the world and as many different cultures as possible.,want much world many culture possible,0.2333333333333333,0.5666666666666667
Its the reason i live for :D.,reason live,0.13636363636363635,0.5
"To see the world, and to know your own insignificance ",world know insignificance,0.0,0.0
"Exploration, culture, scenery, curiosity",exploration culture scenery curiosity,0.0,0.0
"Business travel, Personal growth and understanding societies",business travel personal growth understanding society,0.0,0.3
Exploring. Getting to know how people live around the world. Truly relaxing away from home.,exploring getting know people live around world truly relaxing away home,0.13636363636363635,0.5
"Beaches, sea, different cultures",reach sea culture,0.0,0.0
"Meet people, explore the world",meet people explore world,0.0,0.0
Exploring ,exploring,0.0,0.0
Sites and food,site food,0.0,0.0
To see more,,0.0,0.0
Friends,friend,0.0,0.0
"General tourism, experiencing new things.",general tourism experiencing new,0.09318181818181819,0.4772727272727273
Exploration,exploration,0.0,0.0
wonderlust,wonderlust,0.0,0.0
Experiences,,0.0,0.0
Curosity,curiosity,0.0,0.0
Natural Adventurer,natural adventurer,0.1,0.4
Culture food beauty new experiences,culture food beauty new,0.13636363636363635,0.45454545454545453
to see other cultures and how the natives live,culture native live,0.13636363636363635,0.5
To have a change in daily life,change daily life,0.0,0.0
Experience,,0.0,0.0
History,history,0.0,0.0
Wanderlust,wanderlust,0.0,0.0
Seeing the world that's different from the one I'm living in,world that one in living,0.0,0.0
"adventures, food",adventure food,0.0,0.0
cultural experiences,cultural,0.1,0.1
Adventure,adventure,0.0,0.0
"New experiences, nature",new nature,0.13636363636363635,0.45454545454545453
"Adventure, the challenge, seeing new things",adventure challenge new,0.13636363636363635,0.45454545454545453
"Adventure, exploring history",adventure exploring history,0.0,0.0
Exploration,exploration,0.0,0.0
New experiences with family. ,new family,0.13636363636363635,0.45454545454545453
Self-fulfillment,selffulfillment,0.0,0.0
Curiousity,curiosity,0.0,0.0
Fun,,0.0,0.0
Seeing different cultures and getting away from mundane everyday life,culture getting away mundane everyday life,-0.18333333333333335,0.3833333333333333
fun,,0.0,0.0
Curiosity ,curiosity,0.0,0.0
Experiences,,0.0,0.0
"Discovering, a kick from doing it low budget, escaping",discovering kick low budget escaping,0.0,0.3
Interest,interest,0.0,0.0
"Seeing new things, new people, new food, new climates, new landscape, taking photos",new new people new food new climate new landscape taking photo,0.13636363636363635,0.4545454545454545
Love to see new places.,love new place,0.3181818181818182,0.5272727272727272
new landscapes,new landscape,0.13636363636363635,0.45454545454545453
To learn about new cultures,learn new culture,0.13636363636363635,0.45454545454545453
"seeing beautiful places, learning about different cultures",beautiful place learning culture,0.85,1.0
I love everything about it,love everything,0.5,0.6
Experience something different,something,0.0,0.0
Fun,,0.0,0.0
What doesn’t?,doesn,0.0,0.0
"its genetic according to science but i like to go places and see new things, new people",genetic according science like go place new new people,0.13636363636363635,0.45454545454545453
Experience,,0.0,0.0
The will to learn new things. ,learn new,0.13636363636363635,0.45454545454545453
"Seeing how people lead different lives and how people can be different but also the same regardless of where we are from, expanding my mind, getting into crazy situations I would never get into at home, art, and food",people lead life people also regardless expanding mind getting crazy situation would never get home art food,-0.6,0.9
Adventure,adventure,0.0,0.0
Curiosity and wanderlust,curiosity wanderlust,0.0,0.0
See new things,new,0.13636363636363635,0.45454545454545453
Exploration,exploration,0.0,0.0
Fun,,0.0,0.0
so many haha,many hata,0.5,0.5
To see the world,world,0.0,0.0
Cultre & food,culture food,0.0,0.0
Life,life,0.0,0.0
Exploration ,exploration,0.0,0.0
Seeing and trying new things,trying new,0.13636363636363635,0.45454545454545453
Adventure,adventure,0.0,0.0
Seeing the world and how different cultures interact,world culture interact,0.0,0.0
"New experiences- learn cultures, meet people, eat well, and much more!",new learn culture meet people eat well much,0.16818181818181818,0.32727272727272727
Getting a change of scenery and getting away from everyday life,getting change scenery getting away everyday life,-0.2,0.6
Culture & History,culture history,0.0,0.0
I'm a free spirit,in free spirit,0.4,0.8
"Photography, New Experiences, Culture, Excitement",photography new culture excitement,0.13636363636363635,0.45454545454545453
"Experience cultures, history, food, just to get away, see friends",culture history food get away friend,0.0,0.0
Strong desire to see the world. ,strong desire world,0.4333333333333333,0.7333333333333333
Exploration,exploration,0.0,0.0
exploring / seeing the world from another perspective,exploring world another perspective,0.0,0.0
"Exploring historical stuff, food and drinks, city life, nature",exploring historical stuff food drink city life nature,0.0,0.0
"Exploring historical stuff, food and drinks, city life, nature",exploring historical stuff food drink city life nature,0.0,0.0
Learning new cultures. And FOOOOOD!,learning new culture foooood,0.13636363636363635,0.45454545454545453
Desire,desire,0.0,0.0
To experience something new,something new,0.13636363636363635,0.45454545454545453
Escaping monotony of everyday life,escaping monotony everyday life,-0.2,0.6
A break from the monotony that is work.,break monotony work,0.0,0.0
Culture ,culture,0.0,0.0
Desire to experience something outside my daily routine. ,desire something outside daily routine,0.0,0.025
See more of the world!,world,0.0,0.0
Seeing the world,world,0.0,0.0
Freedom,freedom,0.0,0.0
Adventure ,adventure,0.0,0.0
Adventure + memories,adventure memory,0.0,0.0
See the world,world,0.0,0.0
"Culture, history, food, relaxation",culture history food relaxation,0.0,0.0
seeing new places,new place,0.13636363636363635,0.45454545454545453
Fiancé lives there,fiance life,0.0,0.0
Relaxation ,relaxation,0.0,0.0
Experiences,,0.0,0.0
i like seeing new things,like new,0.13636363636363635,0.45454545454545453
Culture and nature,culture nature,0.0,0.0
Fun + new experiences ,new,0.13636363636363635,0.45454545454545453
Expanded world-view,expanded worldview,0.0,0.0
exploring,exploring,0.0,0.0
"New experiences, different culture, history, nature",new culture history nature,0.13636363636363635,0.45454545454545453
Food,food,0.0,0.0
Curiosity?,curiosity,0.0,0.0
"Curiosity, opening my mind",curiosity opening mind,0.0,0.0
Natural or historic landmarks,natural historic landmarks,0.05,0.2
Learning,learning,0.0,0.0
Learning,learning,0.0,0.0
feeling of freedom,feeling freedom,0.0,0.0
"Food, Experiences",food,0.0,0.0
"Nature, disconnecting from every day life, new adventures ",nature disconcerting every day life new adventure,0.13636363636363635,0.45454545454545453
Fun,,0.0,0.0
So much to see in the world!,much world,0.2,0.2
"Exploring other cultures, seeing nature, relaxing, outside sports",exploring culture nature relaxing outside sport,0.0,0.05
Joy,joy,0.8,0.2
"knowledge, experiences, culture",knowledge culture,0.0,0.0
Curiosity,curiosity,0.0,0.0
"Perspective, new cultures, recommendations",perspective new culture recommendation,0.13636363636363635,0.45454545454545453
seeking experiences,seeking,0.0,0.0
Love to research new destinations,love research new destination,0.3181818181818182,0.5272727272727272
"Tourism, fun",tourism,0.0,0.0
"New experiences, nature",new nature,0.13636363636363635,0.45454545454545453
"New experiences, nature",new nature,0.13636363636363635,0.45454545454545453
Freedom ,freedom,0.0,0.0
Being bored of monotonous daily life,bored monotonous daily life,-0.25,0.5
Food. Nature. Culture. New experiences. Make the most of life. ,food nature culture new make life,0.13636363636363635,0.45454545454545453
curiosity,curiosity,0.0,0.0
Creating beautiful memories ,creating beautiful memory,0.85,1.0
Family,family,0.0,0.0
Culture,culture,0.0,0.0
Culture,culture,0.0,0.0
Food and culture,food culture,0.0,0.0
Experiencing new cultures,experiencing new culture,0.13636363636363635,0.45454545454545453
New experiences,new,0.13636363636363635,0.45454545454545453
Fun,,0.0,0.0
New Experiences and Culture,new culture,0.13636363636363635,0.45454545454545453
New experiences,new,0.13636363636363635,0.45454545454545453
"Love of other cultures, people, language",love culture people language,0.5,0.6
New people and places,new people place,0.13636363636363635,0.45454545454545453
"Food, music, women",food music woman,0.0,0.0
Curiosity ,curiosity,0.0,0.0
curiosity,curiosity,0.0,0.0
"""Newness."" New food, sights, art architecture, culture. A bonus is meeting new people.",newness new food sight art architecture culture bonus meeting new people,0.13636363636363635,0.45454545454545453
Enjoyment & Snowboarding,enjoyment snowboarding,0.0,0.0
I like food and I like beer,like food like beer,0.0,0.0
Freedom,freedom,0.0,0.0
Family,family,0.0,0.0
Why not see as much of the world as I can,much world,0.2,0.2
"No motivation needed, I just want to see new places.",motivation needed want new place,0.13636363636363635,0.45454545454545453
see new things and learn about other cultures,new learn culture,0.13636363636363635,0.45454545454545453
Experiencing other cultures,experiencing culture,0.0,0.0
History,history,0.0,0.0
"Expanding my world view, relaxing",expanding world view relaxing,0.0,0.0
Expanding my viepoint on life.,expanding viewpoint life,0.0,0.0
exploring new cultures,exploring new culture,0.13636363636363635,0.45454545454545453
Adventure,adventure,0.0,0.0
Culture,culture,0.0,0.0
Makes me feel alive,make feel alive,0.1,0.4
The thrill of learning things about the place to which i travel,thrill learning place travel,0.0,0.0
Learning about different cultures,learning culture,0.0,0.0
To see the world ,world,0.0,0.0
"Seeing new places, new food, sense of freedom",new place new food sense freedom,0.13636363636363635,0.45454545454545453
See beautiful sights and experience other cultures,beautiful sight culture,0.85,1.0
Travel frees up the mind from rut.,travel free mind rut,0.4,0.8
Curiosity ,curiosity,0.0,0.0
art,art,0.0,0.0
Fun,,0.0,0.0
Ignorance,ignorance,0.0,0.0
I love trying out new things,love trying new,0.3181818181818182,0.5272727272727272
Find Happiness,find happiness,0.7,0.2
Fun,,0.0,0.0
Escape,escape,0.0,0.0
Experience ,,0.0,0.0
Exploration,exploration,0.0,0.0
new experiences and people,new people,0.13636363636363635,0.45454545454545453
it can be interesting,interesting,0.5,0.5
"to see everything this world has to offer, and to grow as a person",everything world offer grow person,0.0,0.0
Exploring ,exploring,0.0,0.0
New experiences and cultures,new culture,0.13636363636363635,0.45454545454545453
 Freedom with time,freedom time,0.0,0.0
Adventure,adventure,0.0,0.0
New Experiences,new,0.13636363636363635,0.45454545454545453
Culture and History,culture history,0.0,0.0
Being far away from work,far away work,0.1,1.0
Fear of Killing myself out of boredom,fear killing boredom,0.0,0.0
I'm looking at the world and looking for my place,in looking world looking place,0.0,0.0
breaking routine,breaking routine,0.0,0.0
discovery,discovery,0.0,0.0
I enjoy visiting interesting places and having new and unique experiences.,enjoy visiting interesting place new unique,0.3528409090909091,0.6136363636363636
Enjoyment,enjoyment,0.0,0.0
experiences,,0.0,0.0
Seeing different cultures,culture,0.0,0.0
New experiences,new,0.13636363636363635,0.45454545454545453
Explore new places,explore new place,0.13636363636363635,0.45454545454545453
"Experience, food, culture, sights",food culture sight,0.0,0.0
"Seeing other cultures, other people and customs, etc. ",culture people custom etc,0.0,0.0
"food, architecture, wanderlust",food architecture wanderlust,0.0,0.0
I want to see beautiful things,want beautiful,0.85,1.0
Seeing something new,something new,0.13636363636363635,0.45454545454545453
Escape from my own culture for a while. ,escape culture,0.0,0.0
better than sitting home,better sitting home,0.5,0.5
"culture, freedome",culture freedom,0.0,0.0
changing location changes my point of view,changing location change point view,0.0,0.0
Scenery and culture ,scenery culture,0.0,0.0
get to meet people and see other cultures.,get meet people culture,0.0,0.0
Seeing new places,new place,0.13636363636363635,0.45454545454545453
life,life,0.0,0.0
Adventure ,adventure,0.0,0.0
Fun,,0.0,0.0
"Nature, Food",nature food,0.0,0.0
Exploration and adventure,exploration adventure,0.0,0.0
See new cultures. Grow,new culture grow,0.13636363636363635,0.45454545454545453
Family good time,family good time,0.7,0.6000000000000001
Long cold winters at home,long cold winter home,-0.325,0.7
New experiences,new,0.13636363636363635,0.45454545454545453
To see the world that is different to my immediate surrounding and accustomed lifestyle.,world immediate surrounding accustomed lifestyle,0.0,0.0
"Learn about new cultures, see new places, get out of my comfort zone",learn new culture new place get comfort zone,0.13636363636363635,0.45454545454545453
